"","...1","...2","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","trophic_group","trophic_assigned","sampling_method","sampling_month","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","disturbance_av_before","control_av_before","dist_var","control_var","dist_var_before","control_var_before","var_type","dist_n","control_n","significant","approx_p_val","exact_p_val","sample_area","sampling_depth","perc_during_dist","perc_annual_dist","time_after_dist_start","time_after_dist_end","TN","SOC","soil_moisture","phylum","Taxa_Class","Taxa_subclass","superorder","Taxa_order","Functional_group_size","total_carbon","bulk_density","available_WSC","clay","sand","silt","ph","organic_carbon","lat","lon","forest_type","deciduous_coniferous","plantation","plot_area","mean_annual_precipitation","mean_annual_temperature","soil_pH","soil_type","temp_bio","precip_bio","sand_usda","silt_usda","clay_usda","temp","precip","trophic_all","temp.1","precip.1","precip_seasonality","temp_seasonality","aridity"
"1","186","1","Ashton_2019a","Ashton_2019a_1","abundance",NA,"FALSE","Isoptera",NA,NA,"visual observation",NA,NA,"drought","undisturbed vs disturbed",42.01149425,22.03065134,NA,NA,2.549781187,1.509524917,NA,NA,"SE",32,32,NA,NA,NA,144,10,60,60,910,NA,NA,NA,NA,"Arthropoda","Insecta",NA,NA,"Blattodea","mesofauna",4.2,1.4,1,24,49,27,4.6,1,4.745833333,116.9722222,"tropical rainforest","deciduous","FALSE",200,NA,NA,NA,NA,25.6000003814697,2533,NA,NA,NA,25.6000003814697,2533,NA,25.6000003814697,253.3,12,275,1.62323769904855
"2","215","3","Aslam_2015a","Aslam_2015a_1","abundance",NA,"FALSE","Mesostigmata",NA,"predator","tullgren funnel","October","Autumn","precip_inc","undisturbed vs disturbed",2372.262774,1605.839416,NA,NA,1350.364964,711.6788321,NA,NA,"SE",4,4,"FALSE",">0.05",NA,50.3,10,100.2684564,100.2684564,365,NA,NA,NA,NA,"Arthropoda","Arachnida",NA,"Parasitiformes","Mesostigmata","mesofauna",2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,"temperate seasonal forest","deciduous","TRUE",1600,NA,NA,5.33,"sandy loam",17.2000007629395,894,60,25,10,17.2000007629395,894,"predator",17.2000007629395,89.4,34,4501,0.354217559904453
"3","246","4","Aslam_2015a","Aslam_2015a_1","abundance",NA,"FALSE","Nematoda",NA,NA,"baerman funnel","October","Autumn","precip_inc","undisturbed vs disturbed",8211.206897,7047.413793,NA,NA,1681.034483,1099.137931,NA,NA,"SE",4,4,"FALSE",">0.05",NA,50.3,10,100.2684564,100.2684564,365,NA,NA,NA,NA,"Nematoda",NA,NA,NA,NA,"microfauna",2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,"temperate seasonal forest","deciduous","TRUE",1600,NA,NA,5.33,"sandy loam",17.2000007629395,894,60,25,10,17.2000007629395,894,NA,17.2000007629395,89.4,34,4501,0.354217559904453
"4","294","2","Aslam_2015a","Aslam_2015a_1","abundance",NA,"FALSE","Oribatida",NA,NA,"tullgren funnel","October","Autumn","precip_inc","undisturbed vs disturbed",2201.183432,2153.846154,NA,NA,2106.508876,1183.431953,NA,NA,"SE",4,4,"FALSE",">0.05",NA,50.3,10,100.2684564,100.2684564,365,NA,NA,NA,NA,"Arthropoda","Arachnida","Acari","Acariformes","Oribatida","mesofauna",2.1,1.4,1,11,79,10,6.4,0.5,-33.61083333,150.7422222,"temperate seasonal forest","deciduous","TRUE",1600,NA,NA,5.33,"sandy loam",17.2000007629395,894,60,25,10,17.2000007629395,894,NA,17.2000007629395,89.4,34,4501,0.354217559904453
"5","1","6","Aupic-Samain_2021a","Aupic-Samain_2021a_1","abundance",NA,"FALSE","Acari","predator",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",5.307692308,3.369230769,NA,NA,1.015384615,0.830769231,NA,NA,"SE",30,30,"FALSE",">0.05",NA,NA,NA,30,30,1460,NA,6.39,NA,NA,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",7.9236,1.24,6,19,37,44,7.5,2.13,43.96527778,5.711666667,"temperate seasonal forest","deciduous","FALSE",300,866.3,12.6,6.76,"clay",10.5,791,22.5,20,70,12.6,866.3,"predator",10.5,79.1,19,5917,0.733106985124079
"6","2","8","Aupic-Samain_2021a","Aupic-Samain_2021a_2","abundance",NA,"FALSE","Acari","predator",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",4.2,8.446153846,NA,NA,0.692307692,1.8,NA,NA,"SE",30,30,"TRUE","<0.05",NA,NA,NA,30,30,4745,NA,9.62,NA,NA,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",7.9236,1.24,6,19,37,44,7.5,2.13,43.74138889,3.594444444,"temperate seasonal forest","mixed","FALSE",300,955.4,14,6.6,"clay loam",13.1999998092651,726,32.5,33.5,33.5,14,955.4,"predator",13.1999998092651,72.6,25,5817,0.377893996989837
"7","3","10","Aupic-Samain_2021a","Aupic-Samain_2021a_3","abundance",NA,"FALSE","Acari","predator",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",1.338461538,1.107692308,NA,NA,0.461538462,0.230769231,NA,NA,"SE",30,30,"FALSE",">0.05",NA,NA,NA,30,30,2555,NA,5.36,NA,NA,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",2.7495,1.41,3,21,36,43,8,0.65,43.24083333,5.677777778,"temperate seasonal forest","mixed","FALSE",300,605,13.7,6.8,"clay",13,699,22.5,20,70,13.7,605,"predator",13,69.9,35,5500,0.554303149449
"8","77","5","Aupic-Samain_2021a","Aupic-Samain_2021a_1","abundance",NA,"FALSE","Collembola","detritivore",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",10.15151515,7.272727273,NA,NA,1.363636364,1.212121212,NA,NA,"SE",30,30,"FALSE",">0.05",NA,NA,NA,30,30,1460,NA,6.39,NA,NA,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",7.9236,1.24,6,19,37,44,7.5,2.13,43.96527778,5.711666667,"temperate seasonal forest","deciduous","FALSE",300,866.3,12.6,6.76,"clay",10.5,791,22.5,20,70,12.6,866.3,"detritivore",10.5,79.1,19,5917,0.733106985124079
"9","78","7","Aupic-Samain_2021a","Aupic-Samain_2021a_2","abundance",NA,"FALSE","Collembola","detritivore",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",14.09090909,30.45454545,NA,NA,2.272727273,10,NA,NA,"SE",30,30,"TRUE","<0.05",NA,NA,NA,30,30,4745,NA,9.62,NA,NA,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",7.9236,1.24,6,19,37,44,7.5,2.13,43.74138889,3.594444444,"temperate seasonal forest","mixed","FALSE",300,955.4,14,6.6,"clay loam",13.1999998092651,726,32.5,33.5,33.5,14,955.4,"detritivore",13.1999998092651,72.6,25,5817,0.377893996989837
"10","79","9","Aupic-Samain_2021a","Aupic-Samain_2021a_3","abundance",NA,"FALSE","Collembola","detritivore",NA,"tullgren funnel","December","Winter","drought","undisturbed vs disturbed",13.03030303,23.18181818,NA,NA,1.96969697,3.03030303,NA,NA,"SE",30,30,"TRUE","<0.05",NA,NA,NA,30,30,2555,NA,5.36,NA,NA,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",2.7495,1.41,3,21,36,43,8,0.65,43.24083333,5.677777778,"temperate seasonal forest","mixed","FALSE",300,605,13.7,6.8,"clay",13,699,22.5,20,70,13.7,605,"detritivore",13,69.9,35,5500,0.554303149449
