Study_ID,Did the study consist of both temporal and spatial comparisons?,Did the study use randomization?,Did the study avoid confounding factors?,Can study determine causality?,Validity,,,
Ashton_2019a,Partially,No,Yes,Yes,Low validity,,,
Aslam_2015a,Partially,Yes,Yes,Yes,Medium validity,,,
Aupic_Samain_2021a,Partially,Yes,Partially,Yes,Medium validity,,,
Bakonyi_2007a,Partially,No,Partially,Yes,Low validity,,,
Chikoski_2006a,Partially,Yes,Partially,Yes,Medium validity,,,
Delph_2014a,Partially,No,Partially,Partially,Low validity,,,
Ferguson_2002a,Partially,Yes,Partially,Yes,Medium validity,,,
Frew_2013a,Partially,No,Yes,Yes,Low validity,,,
Guidi_2022,Partially,Yes,Yes,Yes,Medium validity,,,
Homet_2021a,Partially,No,Yes,Yes,Low validity,,,
Homet_2023,Partially,No,Yes,Yes,Low validity,,,
Johnson_2018a,Partially,No,Yes,Yes,Low validity,,,
Krashevska_2012a,Partially,Yes,Yes,Yes,Medium validity,,,
Kuperman_2002a,Partially,Yes,Yes,Partially,Medium validity,,,
Landesman_2011a,Partially,No,Partially,Yes,Low validity,,,
Lensing_2005a,Partially,Yes,No,Partially,Low validity,,,
Levings_1984a,Partially,Yes,Yes,Yes,Medium validity,,,
Lindberg_2006a,Partially,Yes,Yes,Yes,Medium validity,,,
Lindberg_2004a,Partially,Yes,Yes,Yes,Medium validity,,,
Lindberg_2002a,Partially,Yes,Yes,Yes,Medium validity,,,
Liu_2020a,Partially,Yes,Yes,Yes,Medium validity,,,
Peguero_2021a,Partially,Yes,Yes,Yes,Medium validity,,,
Pflug_2001a,Partially,Yes,Yes,Yes,Medium validity,,,
Riutta_2012a,Yes,No,Yes,Yes,Low validity,,,
Santonja_2017a,Partially,No,Partially,Yes,Low validity,,,
Sohlenius_1984a,Partially,Yes,Yes,Yes,Medium validity,,,
Sun_2013a,Partially,Yes,Partially,Yes,Medium validity,,,
Sun_2020a,Partially,No,Yes,Yes,Low validity,,,
Šustek_2017,Partially,No,Yes,Partially,Low validity,,,
Taylor_2004a,Partially,No,No,Yes,Low validity,,,
Taylor_2005a,Partially,No,Partially,Yes,Low validity,,,
Tsiafouli_2005a,Partially,Yes,Partially,Yes,Medium validity,,,
Tsiafouli_2018a,Partially,Yes,Partially,Yes,Medium validity,,,
Wang_2021a,Partially,Yes,Partially,Yes,Medium validity,,,
Williams_2014a,Partially,Yes,Partially,Yes,Medium validity,,,
Wise_2019a,Yes,Yes,Yes,Yes,High validity,,,
Xing_2023,Partially,No,Yes,Yes,Low validity,,,
Zhou_2023,Partially,Yes,Yes,Yes,Medium validity,,,
