Bar0,2.502712477,,,,dist,dist2,distse,cont,cont2,contse
Bar1,3.57323689,,,,2.502712477,3.57323689,1.070524412,1.605786618,2.372513562,0.766726944
Bar2,1.605786618,,,,3.660036166,4.325497288,0.665461121,1.82278481,2.878842676,1.056057866
Bar3,2.372513562,,,,5.236889693,6.95840868,1.721518987,3.631103074,4.759493671,1.128390597
Bar4,3.660036166,,,,4.09403255,5.179023508,1.084990958,1.605786618,1.866184448,0.26039783
Bar5,4.325497288,,,,,,,,,
Bar6,1.82278481,,,,,,,,,
Bar7,2.878842676,,,,,,,,,
Bar8,5.236889693,,,,,,,,,
Bar9,6.95840868,,,,,,,,,
Bar10,3.631103074,,,,,,,,,
Bar11,4.759493671,,,,,,,,,
Bar12,4.09403255,,,,,,,,,
Bar13,5.179023508,,,,,,,,,
Bar14,1.605786618,,,,,,,,,
Bar15,1.866184448,,,,,,,,,
