Bar0,2487.951807,,,,control mean,control+SE,SE,treatment,treatment+SE,SE
Bar1,2819.277108,,,,2487.951807,2819.277108,331.3253012,1475.903614,1734.939759,259.0361446
Bar2,1475.903614,,,,1216.86747,1427.710843,210.8433735,325.3012048,439.7590361,114.4578313
Bar3,1734.939759,,,,704.8192771,849.3975904,144.5783133,668.6746988,801.2048193,132.5301205
Bar4,1216.86747,,,,,,,,,
Bar5,1427.710843,,,,,,,,,
Bar6,325.3012048,,,,,,,,,
Bar7,439.7590361,,,,,,,,,
Bar8,704.8192771,,,,,,,,,
Bar9,849.3975904,,,,,,,,,
Bar10,668.6746988,,,,,,,,,
Bar11,801.2048193,,,,,,,,,
