Bar0,1.814948454,,,,control mean,control+SE,SE,treatment,treatment+SE,SE
Bar1,1.892268041,,,,1.814948454,1.892268041,0.077319588,1.759278351,1.833505155,0.074226804
Bar2,1.759278351,,,,1.816494845,1.893814433,0.077319588,1.759278351,1.835051546,0.075773196
Bar3,1.833505155,,,,1.930927835,2.039175258,0.108247423,2.217010309,2.317525773,0.100515464
Bar4,1.816494845,,,,,,,,,
Bar5,1.893814433,,,,,,,,,
Bar6,1.759278351,,,,,,,,,
Bar7,1.835051546,,,,,,,,,
Bar8,1.930927835,,,,,,,,,
Bar9,2.039175258,,,,,,,,,
Bar10,2.217010309,,,,,,,,,
Bar11,2.317525773,,,,,,,,,
