"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Did.the.study.consist.of.both.temporal.and.spatial.comparisons.","Did.the.study.use.randomization.","Did.the.study.avoid.confounding.factors.","Can.study.determine.causality.","Validity","Functional_group_size.y","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Johnson_2018a","Johnson_2018a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Nematoda","precip_inc","undisturbed vs disturbed",1.26,1.48,0.13,0.07,"SE",16,16,"aboveground",1.9837167,"Australia","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","No","Yes","Yes","Low validity","microfauna",33.6111111111111,150.740694444444,NA,"no",2018,"pass",-0.156726384608333,0.0129116131520609,-0.160930366812637,0.0128820330718658,0.00420398220430396,0.11349904436543,32,0.125,0.353553390593274,0
"2","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","fishers alpha",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",2.12,2.34,NA,NA,NA,4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,"detritivore-fungivore","yes",2002,NA,-3.26613678033685,19.4693570598262,-0.0987348406856889,NA,3.16740193965116,NA,8,0.5,0.707106781186548,1.5437
"3","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",1.83,1.85,NA,NA,NA,4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,"detritivore-fungivore","yes",2002,NA,-3.17827161188806,19.4693570598262,-0.0108696722369039,NA,3.16740193965116,NA,8,0.5,0.707106781186548,1.5437
"4","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","simpsons index",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",14,15,NA,0.6,"SE",4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,"detritivore-fungivore","yes",2002,NA,0.214705902095631,0.651537739335157,-0.0689928714869514,NA,0.283698773582582,NA,8,0.5,0.707106781186548,1.5437
"5","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","fishers alpha",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",4.7,3.65,NA,NA,NA,4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,NA,"yes",2002,NA,-2.91456659852954,19.4693570598262,0.252835341121613,NA,3.16740193965116,NA,8,0.5,0.707106781186548,1.5437
"6","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",2.35,1.99,NA,NA,NA,4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,NA,"yes",2002,NA,-3.00112125023149,19.4693570598262,0.166280689419667,NA,3.16740193965116,NA,8,0.5,0.707106781186548,1.5437
"7","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","simpsons index",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",31,26,NA,0.9,"SE",4,4,"belowground",37,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",56.55,13.2166666666667,NA,"yes",2002,NA,0.459790327620211,0.651135683122927,0.175890666463664,NA,0.283899661156546,NA,8,0.5,0.707106781186548,1.5437
"8","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",2.04,2.2,0.06,0.04,"SE",4,4,"belowground",NA,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",64.1166666666667,19.45,"detritivore-fungivore","yes",2004,"pass",-0.0752403158127865,0.00119584481474787,-0.0755075525081452,0.00119563041551088,0.000267236695358622,0.0345778891129994,8,0.5,0.707106781186548,1.0774
"9","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",14.9,17,1,1.1,"SE",4,4,"belowground",NA,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",64.1166666666667,19.45,"detritivore-fungivore","yes",2004,"pass",-0.131693405906321,0.00870060743311829,-0.131852131104803,0.00869115281910834,0.000158725198481591,0.0932263526000473,8,0.5,0.707106781186548,1.0774
"10","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",2.2,2.12,0.12,0.39,"SE",4,4,"belowground",NA,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",64.1166666666667,19.45,NA,"yes",2004,"pass",0.0216078176703635,0.0371058563873907,0.0370412716803491,0.0368173212431117,0.0154334540099856,0.191878402232017,8,0.5,0.707106781186548,1.0774
