"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_during_dist","perc_annual_dist","time_after_dist_end","Functional_group_size","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Validity","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Bakonyi_2007a","Bakonyi_2007a_1","alpha diversity","richness",FALSE,"Nematoda","drought","undisturbed vs disturbed",23.7,22.6,3.1,2.7,"SD",3,3,"belowground",-100,-16.67,NA,"microfauna","Hungary","experimental",FALSE,TRUE,FALSE,NA,FALSE,"Low validity",46.8833333333333,19.3833333333333,NA,"no",2007,"pass",0.0479978473990699,0.0104744331329201,0.0475251418628453,0.0104606432754411,0.000472705536224645,0.102277286214688,6,0.666666666666667,0.816496580927726,0.4745
"2","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",1.13,1.1,0.06,0.06,"SE",21,92,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0268295136442119,0.00579873478798898,0.0269074529199242,0.00579453467171591,7.79392757123201e-05,0.0761218409637859,68.3893805309735,0.0584886128364389,0.241844191239812,0.4913
"3","Homet_2021a","Homet_2021a_1","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",2.447761194,3.164179104,0.417910448,0.417910448,"SE",21,92,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",-0.250867153875093,0.046881739497159,-0.256719846709066,0.0465932461669083,0.00585269283397299,0.215854687618565,68.3893805309735,0.0584886128364389,0.241844191239812,0.4913
"4","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",1.58,1.53,0.03,0.03,"SE",43,274,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0321451374520701,0.000745056107398681,0.0321571116345314,0.000744986660067698,1.19741824613842e-05,0.0272944437581662,148.668769716088,0.0269054489899847,0.164028805366572,0.4913
"5","Homet_2021a","Homet_2021a_1","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",10.02985075,9.552238806,0.537313433,0.537313433,"SE",43,274,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0486430822667749,0.00603852236216847,0.0487901645383308,0.00603396046071598,0.000147082271555909,0.0776785714384345,148.668769716088,0.0269054489899847,0.164028805366572,0.4913
"6","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",1.59,1.58,0.02,0.01,"SE",43,594,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.00636825114640085,0.000198285932071803,0.00630916919326476,0.000198279272399476,5.90819531360916e-05,0.0140811672953444,160.389324960754,0.0249393156369901,0.157921865607616,0.4913
"7","Homet_2021a","Homet_2021a_1","alpha diversity","richness",FALSE,"Mesofauna","drought","undisturbed vs disturbed",9.731343284,8.955223881,0.47761194,0.597014925,"SE",43,594,"aboveground",-30,-30,NA,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.0820970956434562,0.00685965562480781,0.0831149067084514,0.00685326674698763,0.00101781106499518,0.0827844595741715,160.389324960754,0.0249393156369901,0.157921865607616,0.4913
"8","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",0.357,0.447,0.048,0.06,"SE",43,43,"aboveground",-30,-30,0,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",-0.224792506368481,0.0362578826153173,-0.22482281283393,0.036095025795182,3.0306465448382e-05,0.189986909536373,86,0.0465116279069767,0.215665546406877,0.4913
"9","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",0.354,0.402,0.03,0.027,"SE",43,43,"aboveground",-30,-30,92,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",-0.125819766813828,0.0117108533153195,-0.127155175485247,0.011692871252394,0.00133540867141871,0.108133580595456,86,0.0465116279069767,0.215665546406877,0.4913
"10","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,"Mesofauna","drought","undisturbed vs disturbed",0.486,0.483,0.042,0.045,"SE",43,43,"aboveground",-30,-30,274,"mesofauna","Spain","experimental",FALSE,TRUE,TRUE,FALSE,FALSE,"Low validity",36.568749,-5.53564,NA,"yes",2021,"pass",0.00558604677443058,0.0161813751032573,0.00619197024792098,0.0161485943940166,0.000605923473490404,0.127077119868278,86,0.0465116279069767,0.215665546406877,0.4913
