"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Did.the.study.consist.of.both.temporal.and.spatial.comparisons.","Did.the.study.use.randomization.","Did.the.study.avoid.confounding.factors.","Can.study.determine.causality.","Validity","Functional_group_size.y","lat","lon","trophic_to_use","exoskeleton","trap","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",14.9,17,1,1.1,"SE",4,4,"belowground",NA,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",64.1166666666667,19.45,"detritivore-fungivore","yes","Other",2004,"pass",-0.131693405906321,0.00870060743311829,-0.131852131104803,0.00869115281910834,0.000158725198481591,0.0932263526000473,8,0.5,0.707106781186548,1.0774
"2","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",26.2,24.5,2.1,1.2,"SE",4,4,"belowground",NA,"Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Partially","Yes","Yes","Yes","Medium validity","mesofauna",64.1166666666667,19.45,NA,"yes","Other",2004,"pass",0.0690990184029138,0.00883520839881068,0.0670862932163698,0.00882345120607416,0.00201272518654394,0.0939332273802735,8,0.5,0.707106781186548,1.0774
"3","Riutta_2012a","Riutta_2012a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Diplopoda","precip_inc","undisturbed vs disturbed",1.005882353,0.811764706,0.414705882,0.194117647,"SE",5,5,"aboveground",30.25,"United Kingdom","experimental",TRUE,TRUE,FALSE,TRUE,FALSE,"Yes","No","Yes","Yes","Low validity","macrofauna",51.7666666666667,1.33333333333333,"detritivore","yes","Other",2012,"pass",0.270805877229908,0.235199132993716,0.214409871259007,0.227158741517977,0.0563960059709005,0.476611730361284,10,0.4,0.632455532033676,0
"4","Riutta_2012a","Riutta_2012a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Diplopoda","precip_inc","undisturbed vs disturbed",1.720588235,1.217647059,0.114705882,0.317647059,"SE",5,5,"aboveground",30.25,"United Kingdom","experimental",TRUE,TRUE,FALSE,TRUE,FALSE,"Yes","No","Yes","Yes","Low validity","macrofauna",51.7666666666667,1.33333333333333,"detritivore","yes","Other",2012,"pass",0.313941630243681,0.0736601131269883,0.345745873090675,0.0724973745312132,0.0318042428469931,0.269253364939444,10,0.4,0.632455532033676,0
"5","Riutta_2012a","Riutta_2012a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Oniscidea","precip_inc","undisturbed vs disturbed",1.203296703,0.906593407,0.247252747,0.28021978,"SE",5,5,"aboveground",30.25,"United Kingdom","experimental",TRUE,TRUE,FALSE,TRUE,FALSE,"Yes","No","Yes","Yes","Low validity","macrofauna",51.7666666666667,1.33333333333333,"detritivore","yes","Other",2012,"pass",0.256468562872936,0.140486503866856,0.28312625522086,0.137758994998329,0.026657692347924,0.371158988842152,10,0.4,0.632455532033676,0
"6","Riutta_2012a","Riutta_2012a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Oniscidea","precip_inc","undisturbed vs disturbed",1.392857143,0.791208791,0.107142857,0.197802198,"SE",5,5,"aboveground",30.25,"United Kingdom","experimental",TRUE,TRUE,FALSE,TRUE,FALSE,"Yes","No","Yes","Yes","Low validity","macrofauna",51.7666666666667,1.33333333333333,"detritivore","yes","Other",2012,"pass",0.537259103615858,0.0694024756041098,0.56555052382169,0.0684171599043069,0.0282914202058325,0.261566740822121,10,0.4,0.632455532033676,0
"7","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",17,11,NA,NA,NA,7,7,"belowground",34.935305,"Greece","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","Yes","Partially","Yes","Medium validity","mesofauna",40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,-1.3746258942571,8.18741429879207,0.435318071257845,NA,1.80994396551495,NA,14,0.285714285714286,0.534522483824849,0.4235
"8","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",30,15,NA,NA,NA,7,7,"belowground",34.935305,"Greece","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","Yes","Partially","Yes","Medium validity","mesofauna",40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,-1.116796784955,8.18741429879207,0.693147180559945,NA,1.80994396551495,NA,14,0.285714285714286,0.534522483824849,0.4235
"9","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Collembola","precip_inc","undisturbed vs disturbed",15,11,NA,NA,NA,7,7,"belowground",38.4103512,"Greece","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","Yes","Partially","Yes","Medium validity","mesofauna",40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,-1.49978903721111,8.18741429879207,0.310154928303839,NA,1.80994396551495,NA,14,0.285714285714286,0.534522483824849,0.4235
"10","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Oribatida","precip_inc","undisturbed vs disturbed",29,15,NA,NA,NA,7,7,"belowground",38.4103512,"Greece","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","Yes","Partially","Yes","Medium validity","mesofauna",40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,-1.15069833663068,8.18741429879207,0.659245628884264,NA,1.80994396551495,NA,14,0.285714285714286,0.534522483824849,0.4235
"11","Williams_2014a","Williams_2014a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Coleoptera","precip_inc","undisturbed vs disturbed",6.5,6.8,0.2,0.1,"SE",30,30,"aboveground",33,"USA","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Partially","Yes","Partially","Yes","Medium validity","macrofauna",35.951883,-84.272722,NA,"yes","Trap",2014,"pass",-0.0447551939872938,0.00116324431211725,-0.0451204352804695,0.00116300853790872,0.000365241293175715,0.0341029109887811,60,0.0666666666666667,0.258198889747161,0.9366
