"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Autumn","drought","undisturbed vs disturbed",1.13,1.1,0.06,0.06,"SE",21,92,"aboveground",-30,92,"Spain","Low validity","mesofauna",NA,NA,NA,0.575499782797526,0.27495454169735,36.568749,-5.53564,NA,"yes","Other",2021,0.523181620725024,0.243322603271992,36.5672990063234,37.2235294117647,"pass",0.0268295136442119,0.00579873478798898,0.0269074529199242,0.00579453467171591,7.79392757123201e-05,0.0761218409637859,68.3893805309735,0.0584886128364389,0.241844191239812,0.4913
"2","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Spring","drought","undisturbed vs disturbed",1.58,1.53,0.03,0.03,"SE",43,274,"aboveground",-30,274,"Spain","Low validity","mesofauna",NA,NA,NA,0.496588360717405,0.19672315572906,36.568749,-5.53564,NA,"yes","Other",2021,0.324567556024448,0.124508326410797,101.907019143118,104.724470134875,"pass",0.0321451374520701,0.000745056107398681,0.0321571116345314,0.000744986660067698,1.19741824613842e-05,0.0272944437581662,148.668769716088,0.0269054489899847,0.164028805366572,0.4913
"3","Homet_2021a","Homet_2021a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Winter","drought","undisturbed vs disturbed",1.59,1.58,0.02,0.01,"SE",43,594,"aboveground",-30,594,"Spain","Low validity","mesofauna",NA,NA,NA,0.243721152139079,0.13114877048604,36.568749,-5.53564,NA,"yes","Other",2021,0.154253893758911,0.0824835034503396,315.867059318469,158.080924855491,"pass",0.00636825114640085,0.000198285932071803,0.00630916919326476,0.000198279272399476,5.90819531360916e-05,0.0140811672953444,160.389324960754,0.0249393156369901,0.157921865607616,0.4913
"4","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Spring","drought","undisturbed vs disturbed",0.357,0.447,0.048,0.06,"SE",43,43,"aboveground",-30,0,"Spain","Low validity","mesofauna",NA,NA,NA,0.39344631145812,0.314757049166496,36.568749,-5.53564,NA,"yes","Other",2021,0.880193090510336,0.88167240662884,14.8138728323699,14.7890173410405,"pass",-0.224792506368481,0.0362578826153173,-0.22482281283393,0.036095025795182,3.0306465448382e-05,0.189986909536373,86,0.0465116279069767,0.215665546406877,0.4913
"5","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Summer","drought","undisturbed vs disturbed",0.354,0.402,0.03,0.027,"SE",43,43,"aboveground",-30,92,"Spain","Low validity","mesofauna",NA,NA,NA,0.177050840156154,0.19672315572906,36.568749,-5.53564,NA,"yes","Other",2021,0.440424975512821,0.555715129178136,29.6056518946692,23.4635838150289,"pass",-0.125819766813828,0.0117108533153195,-0.127155175485247,0.011692871252394,0.00133540867141871,0.108133580595456,86,0.0465116279069767,0.215665546406877,0.4913
"6","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Winter","drought","undisturbed vs disturbed",0.486,0.483,0.042,0.045,"SE",43,43,"aboveground",-30,274,"Spain","Low validity","mesofauna",NA,NA,NA,0.29508473359359,0.275412418020684,36.568749,-5.53564,NA,"yes","Other",2021,0.610941477419441,0.566692218149556,21.3425818882466,23.009083402147,"pass",0.00558604677443058,0.0161813751032573,0.00619197024792098,0.0161485943940166,0.000605923473490404,0.127077119868278,86,0.0465116279069767,0.215665546406877,0.4913
"7","Homet_2021a","Homet_2021a_2","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Mesofauna","Autumn","drought","undisturbed vs disturbed",0.33,0.351,0.039,0.042,"SE",43,43,"aboveground",-30,594,"Spain","Low validity","mesofauna",NA,NA,NA,0.275412418020684,0.255740102447778,36.568749,-5.53564,NA,"yes","Other",2021,0.784650763591693,0.774970007417509,16.617671345995,16.8252556691863,"pass",-0.061869130731018,0.0283850283677562,-0.0616935690053398,0.0282850077488772,0.000175561725678251,0.168181472668297,86,0.0465116279069767,0.215665546406877,0.4913
"8","Johnson_2018a","Johnson_2018a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Nematoda",NA,"precip_inc","undisturbed vs disturbed",1.26,1.48,0.13,0.07,"SE",16,16,"aboveground",1.9837167,243,"Australia","Low validity","microfauna","Nematoda","Nematoda",0.0634,0.28,0.52,-33.6111111111111,150.740694444444,NA,"no","Trap",2018,0.189189189189189,0.412698412698413,41.6351648351648,19.0863905325444,"pass",-0.156726384608333,0.0129116131520609,-0.160930366812637,0.0128820330718658,0.00420398220430396,0.11349904436543,32,0.125,0.353553390593274,0.5212
"9","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.22,1.85,NA,NA,NA,4,4,"belowground",-35,2555,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2002,NA,NA,NA,NA,NA,-3.42528908804523,17.9580208268438,-0.416334780345068,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"10","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.33,1.99,NA,NA,NA,4,4,"belowground",-35,2555,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,56.55,13.2166666666667,NA,"yes","Other",2002,NA,NA,NA,NA,NA,-3.4119100042029,17.9580208268438,-0.402955696502739,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"11","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","precip_inc","undisturbed vs disturbed",1.83,1.85,NA,NA,NA,4,4,"belowground",37,2555,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2002,NA,NA,NA,NA,NA,-3.01982397993707,17.9580208268438,-0.0108696722369039,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"12","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",2.35,1.99,NA,NA,NA,4,4,"belowground",37,2555,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,56.55,13.2166666666667,NA,"yes","Other",2002,NA,NA,NA,NA,NA,-2.8426736182805,17.9580208268438,0.166280689419667,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"13","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","precip_inc","undisturbed vs disturbed",2.04,2.2,0.06,0.04,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.08,0.12,64.1166666666667,19.45,"detritivore-fungivore","yes","Other",2004,0.0363636363636364,0.0588235294117647,103.529411764706,64,"pass",-0.0752403158127865,0.00119584481474787,-0.0755075525081452,0.00119563041551088,0.000267236695358622,0.0345778891129994,8,0.5,0.707106781186548,1.0774
"14","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",2.2,2.12,0.12,0.39,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.78,0.24,64.1166666666667,19.45,NA,"yes","Other",2004,0.367924528301887,0.109090909090909,10.2322775263952,34.5098039215686,"pass",0.0216078176703635,0.0371058563873907,0.0370412716803491,0.0368173212431117,0.0154334540099856,0.191878402232017,8,0.5,0.707106781186548,1.0774
"15","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.22,1.85,0.36,0.05,"SE",4,4,"belowground",-35,2555,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.1,0.72,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0540540540540541,0.590163934426229,69.6470588235294,6.37908496732026,"pass",-0.373163326752847,0.0896994037837813,-0.416334780345068,0.0878038275642814,0.0431714535922211,0.296317106432081,8,0.5,0.707106781186548,1.5437
"16","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.86,1.81,0.08,0.07,"SE",4,4,"belowground",-35,2920,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.14,0.16,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0773480662983426,0.0860215053763441,48.672268907563,43.7647058823529,"pass",0.0274267644507654,0.00334702050760481,0.0272496424473755,0.0033456056868263,0.000177122003389884,0.0578412109730277,8,0.5,0.707106781186548,1.5437
"17","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.45,1.76,0.11,0.05,"SE",4,4,"belowground",-35,3285,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.1,0.22,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0568181818181818,0.151724137931034,66.2588235294118,24.8128342245989,"pass",-0.191276264086853,0.00657057295732663,-0.193750252617577,0.00656212995400989,0.00247398853072398,0.0810069747244636,8,0.5,0.707106781186548,1.5437
"18","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.48,1.85,0.16,0.05,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.1,0.32,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0540540540540541,0.216216216216216,69.6470588235294,17.4117647058824,"pass",-0.217665099889812,0.012452105235356,-0.22314355131421,0.012417823228634,0.00547845142439746,0.111435287178856,8,0.5,0.707106781186548,1.5437
"19","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.27,1.81,0.19,0.07,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.14,0.38,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0773480662983426,0.299212598425197,48.672268907563,12.5820433436533,"pass",-0.343866762845201,0.024003523851362,-0.354309944807234,0.0238777256041127,0.0104431819620331,0.154524190999703,8,0.5,0.707106781186548,1.5437
"20","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","drought","undisturbed vs disturbed",1.49,1.76,0.13,0.05,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.1,0.26,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2006,0.0568181818181818,0.174496644295302,66.2588235294118,21.5746606334842,"pass",-0.163135092457043,0.00843399566952211,-0.166537689092693,0.00841934616386128,0.00340259663564962,0.0917569951767236,8,0.5,0.707106781186548,1.5437
