Study_ID,site_no,Site_ID,Country,Detailed_location,Latitude_deg,Latitude_min,Latitude_sec,Longitude_deg,Longitude_min,Longitude_sec,Lat_dec_deg,Lon_dec_deg,forest_type,deciduous_coniferous,exp_obs,before_after,controlled,blocked,paired,randomized,plot_area
Ashton_2019a,1,Ashton_2019a_1,Malaysia,Danum Valley Conservation Area,4,44,45,116,58,20,NA,NA,tropical rainforest,deciduous,observational,TRUE,FALSE,FALSE,FALSE,FALSE,200
Aslam_2015a,1,Aslam_2015a_1,Australia ,"University of Western Sydney, Australia ",-33,-36,-39,150,44,32,NA,NA,,deciduous,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,1600
Aupic_Samain_2021a,1,Aupic_Samain_2021a_1,France,"Observatoire de Haute Provence, Luberon Natural Regional Park",43,56,115,5,42,42,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,300
Aupic_Samain_2021a,2,Aupic_Samain_2021a_2,France,"Puechabon State Forest, Occitanie, SE France",43,44,45,116,58,20,NA,NA,temperate seasonal forest,mixed,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,300
Aupic_Samain_2021a,3,Aupic_Samain_2021a_3,France,"Font-Blanche, Provence , SE France",56,33,0,13,13,0,NA,NA,temperate seasonal forest,mixed,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,300
Bakonyi_2007a,1,Bakonyi_2007a_1,Hungary,"Danube-Tisza Interfluve, Southern Great Plain, Hungary",46,53,0,19,23,0,NA,NA,temperate seasonal forest,mixed,experimental,FALSE,TRUE,FALSE,,FALSE,20
Chikoski_2006a,1,Chikoski_2006a_1,Canada,"south-central Saskatchewan, Canada ",52,10,0,106,41,0,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,997.5
Ferguson_2002a,1,Ferguson_2002a_1,Canada,"south-central Saskatchewan, Canada ",52,10,0,106,41,0,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,1000
Frew_2013a,1,Frew_2013a_1,Australia ,"near Hawkesbury River in Western Sydney, Australia",-33,-36,-40,150,44,26.5,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,1600
Homet_2021a,1,Homet_2021a_1,Spain,Los Alcornocales Natural Park,NA,NA,NA,NA,NA,NA,36.568749,-5.53564,temperate seasonal forest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,300
Homet_2021a,2,Homet_2021a_2,Spain,Los Alcornocales Natural Park,NA,NA,NA,NA,NA,NA,36.568749,-5.53564,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,300
Johnson_2018a,1,Johnson_2018a_1,Australia ,"near Hawkesbury River in Western Sydney, Australia",-33,-36,-40,150,44,26.5,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,1353.3
Krashevska_2012a,1,Krashevska_2012a_1,Ecuador,northern border of the Podocarpus National Park,-3,-58,-30,-79,-4,-25,NA,NA,tropical rainforest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,2.25
Krashevska_2012a,2,Krashevska_2012a_2,Ecuador,northern border of the Podocarpus National Park,-3,-58,-30,-79,-4,-25,NA,NA,tropical rainforest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,2.25
Krashevska_2012a,3,Krashevska_2012a_3,Ecuador,northern border of the Podocarpus National Park,-3,-58,-30,-79,-4,-25,NA,NA,tropical rainforest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,2.25
Kuperman_2002a,1,Kuperman_2002a_1,USA,"Edge-of-Appalachia preserve, southern Ohio",NA,NA,NA,NA,NA,NA,38.717428,-83.446694,temperate seasonal forest,deciduous,observational,FALSE,FALSE,FALSE,FALSE,FALSE,NA
Kuperman_2002a,2,Kuperman_2002a_2,USA,"Hoosier National Forest, Indiana",NA,NA,NA,NA,NA,NA,38.478637,-86.525409,temperate seasonal forest,deciduous,observational,FALSE,FALSE,FALSE,FALSE,FALSE,NA
Kuperman_2002a,3,Kuperman_2002a_3,USA,"Touch-of-Nature preserve, southern Illonois",NA,NA,NA,NA,NA,NA,37.628727,-89.158503,temperate seasonal forest,deciduous,observational,FALSE,FALSE,FALSE,FALSE,FALSE,NA
Landesman_2011a,1,Landesman_2011a_1,USA,NJ pinelands,NA,NA,NA,NA,NA,NA,39.957455,-74.627963,temperate seasonal forest,mixed,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,4.75
Lensing_2005a,1,Lensing_2005a_1,USA,"Madison County, Kentucky",NA,NA,NA,NA,NA,NA,37.719113,-84.338822,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,4
Lindberg_2002a,1,Lindberg_2002a_1,Sweden,"Skogaby, south-western Sweden",56,33,0,13,13,0,NA,NA,boreal forest,coniferous,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,506.25
Lindberg_2004a,1,Lindberg_2004a_1,Sweden,"Flakaliden, northeast Sweden",64,7,0,19,27,0,NA,NA,boreal forest,coniferous,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,2500
Lindberg_2006a,1,Lindberg_2006a_1,Sweden,"Skogaby, south-western Sweden",56,33,0,13,13,0,NA,NA,boreal forest,coniferous,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,506.25
Liu_2020a,1,Liu_2020a_1,China,"Jigongshan National Natural Reserve, Xinyang, Henan province",31,46,0,114,1,0,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,TRUE,FALSE,TRUE,907
Peguero_2021a,1,Peguero_2021a_1,Spain,Prades mountains,41,21,0,1,2,0,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,150
Pflug_2001a,1,Pflug_2001a_1,Germany,"east of Giessen in the
Vogelsberg region in Hesse",NA,NA,NA,NA,NA,NA,50.58426318,8.677588613,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,NA
Riutta_2012a,1,Riutta_2012a_1,United Kingdom,"Wytham Woods, Oxfordshire, UK",51,46,0,-1,-20,0,NA,NA,temperate seasonal forest,deciduous,experimental,TRUE,TRUE,FALSE,TRUE,FALSE,9
Santonja_2017a,1,Santonja_2017a_1,France,"Observatoire de Haute Provence, 60km north of Mareille",43,56,115,5,42,642,NA,NA,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,300
Sohlenius_1984a,1,Sohlenius_1984a_1,Sweden,"Ivantjirnsheden, Jidraas in Central Sweden",60,49,0,16,30,0,NA,NA,boreal forest,coniferous,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,900
Sun_2013a,1,Sun_2013a_1,China,"Changbai Mountain Natural Reserve, Jilin Province, China",42,24,0,128,6,0,NA,NA,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,2500
Sun_2020a,1,Sun_2020a_1,China,Xiaoliang Tropical Coastal Ecosystem Research Station ,21,27,0,110,54,0,NA,NA,tropical rainforest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,144
Taylor_2004a,1,Taylor_2004a_1,Germany,"Vogelsberg area of Hessia, Germany",50,31,0,9,17,0,NA,NA,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,2.1875
Tsiafouli_2005a,1,Tsiafouli_2005a_1,Greece,"Mount Holomon, Halkidiki",40,26,0,23,34,0,NA,NA,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,2.1875
Tsiafouli_2018a,1,Tsiafouli_2018a_1,Greece,"Mount Holomon, Halkidiki",40,26,0,23,34,0,NA,NA,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,2.1875
Wang_2021a,1,Wang_2021a_1,China,Changbai Mountains experimental station,42,24,0,128,6,0,NA,NA,temperate seasonal forest,coniferous,experimental,FALSE,TRUE,FALSE,FALSE,TRUE,2500
Williams_2014a,1,Williams_2014a_1,USA,"Walker Branch Watershed, Oak Ridge, Tennassee",NA,NA,NA,NA,NA,NA,35.951883,-84.272722,temperate seasonal forest,deciduous,experimental,FALSE,TRUE,FALSE,FALSE,FALSE,36
Wise_2019a,1,Wise_2019a_1,USA,"Horse Cove, Berea College forest, Madison County, Kentucky, USA",NA,NA,NA,NA,NA,NA,37.554104,-84.240733,temperate seasonal forest,mixed,experimental,TRUE,TRUE,FALSE,FALSE,TRUE,14
Taylor_2005a,1,Taylor_2005a_1,Germany,"Vogelsberg area of Hessia, Germany",50,31,0,9,17,0,NA,NA,temperate seasonal forest,mixed,experimental,FALSE,TRUE,TRUE,FALSE,FALSE,4.375
