Study_ID,Authors,Year,Title,Publication,Volume,Issue,Pages,doi,sys_rev_URL,Data extracted
Ashton_2019,"Ashton, L.A.; Griffiths, H.M.; Parr, C.L.; Evans, T.A.; Didham, R.K.; Hasan, F.; Teh, Y.A.; Tin, H.S.; Vairappan, C.S.; Eggleton, P.",2019,Termites mitigate the effects of drought in tropical rainforest,Science,363,6423,174-177,https://doi.org/10.1126/science.aau9565,https://sysrev.com/p/125265/article/95521206,Yes
Aslam_2015,"Aslam, T.J.; Benton, T.G.; Nielsen, U.N.; Johnson, S.N.",2015,Impacts of eucalypt plantation management on soil faunal communities and nutrient bioavailability: trading function for dependence?,Biology and Fertility of Soils,51,,637-644,https://doi.org/10.1007/s00374-015-1003-6,https://sysrev.com/p/125265/article/95521442,Yes
Aupic-Samain_2021,"Aupic-Samain, A.; Santonja, M.; Chomel, M.; Pereira, S.; Quer, E.; Lecareux, C.; Limousin, J.-M.; Ourcival, J.-M.; Simioni, G.; Gauquelin, T.; Fernandez, C.; Baldy, V.",2021,Soil biota response to experimental rainfall reduction depends on the dominant tree species in mature northern Mediterranean forests,Soil Biology and Biochemistry,154,,,https://doi.org/10.1016/j.soilbio.2020.108122,https://sysrev.com/p/125265/article/95521413,Yes
Chikoski_2006,"Chikoski, JM; Ferguson, SH; Meyer, L",2006,Effects of water addition on soil arthropods and soil characteristics in a precipitation-limited environment,Acta Oecologica,30,20,203-211,https://doi.org/10.1016/j.actao.2006.04.005,https://sysrev.com/p/125265/article/95521494,Yes
Ferguson_2002,"Ferguson, S.H.; Joly, D.O.",2002,"Dynamics of springtail and mite populations: The role of density dependence, predation, and weather",Ecological Entomology,27,,565-573,https://doi.org/10.1046/j.1365-2311.2002.00441.x,https://sysrev.com/p/125265/article/95521268,Yes
Frew_2013,"Frew, A.; Nielsen, U.N.; Riegler, M.; Johnson, S.N.",2013,Do eucalypt plantation management practices create understory reservoirs of scarab beetle pests in the soil?,Forest Ecology and Management,306,,275-280,https://doi.org/10.1016/j.foreco.2013.06.051,https://sysrev.com/p/125265/article/95521473,Yes
Guidi_2022,"Guidi, C.; Frey, B.; Brunner, I.; Meusburger, K.; Vogel, M.E.; Chen, X.; Stucky, T.; Gwiazdowicz, D.J.; Skuba?a, P.; Bose, A.K.; Schaub, M.; Rigling, A.; Hagedorn, F.",2022,Soil fauna drives vertical redistribution of soil organic carbon in a long-term irrigated dry pine forest,Global Change Biology,28,,3145-3160,https://doi.org/10.1111/gcb.16122,https://sysrev.com/p/125265/article/95519823,Yes
Homet_2021,"Homet, P.; Gómez-Aparicio, L.; Matías, L.; Godoy, O.",2021,Soil fauna modulates the effect of experimental drought on litter decomposition in forests invaded by an exotic pathogen,Journal of Ecology,109,,2963-2980,https://doi.org/10.1111/1365-2745.13711,https://sysrev.com/p/125265/article/95521350,Yes
Homet_2023,"Homet, P.; Ourcival, J.-M.; Gutiérrez, E.; Domínguez-Begines, J.; Matías, L.; Godoy, O.; Gómez-Aparicio, L.",2023,Short- and long-term responses of nematode communities to predicted rainfall reduction in Mediterranean forests,Soil Biology and Biochemistry,179,,,https://doi.org/10.1016/j.soilbio.2023.108974,https://sysrev.com/p/125265/article/95519331,Yes
Johnson_2018,"Johnson, S.N.; Lopaticki, G.; Aslam, T.J.; Barnett, K.; Frew, A.; Hartley, S.E.; Hiltpold, I.; Nielsen, U.N.; Ryalls, J.M.W.",2018,Dryland management regimes alter forest habitats and understory arthropod communities,Annals of Applied Botany,172,,282-294,https://doi.org/10.1111/aab.12419,https://sysrev.com/p/125265/article/95521422,Yes
Krashevska_2012,"Krashevska, V.; Sandmann, D.; Maraun, M.; Scheu, S.",2012,Consequences of exclusion of precipitation on microorganisms and microbial consumers in montane tropical rainforests,Oecologia,170,,1067-1076,https://doi.org/10.1007/s00442-012-2360-6,https://sysrev.com/p/125265/article/95521251,Yes
Landesman_2011,"Landesman, W.J.; Treonis, A.M.; Dighton, J.",2011,Effects of a one-year rainfall manipulation on soil nematode abundances and community composition,Pedobiologia,54,2,87-91,https://doi.org/10.1016/j.pedobi.2010.10.002,https://sysrev.com/p/125265/article/95521417,Yes
Lensing_2005,"Lensing, J.R.; Todd, S.; Wise, D.H.",2005,The impact of altered precipitation on spatial stratification and activity-densities of springtails (Collembola) and spiders (Araneae),Ecological Entomology,30,,194-200,https://doi.org/10.1111/j.0307-6946.2005.00669.x,https://sysrev.com/p/125265/article/95521311,Yes
Levings_1984,"Levings, Sally C.; Windsor, Donald M.",1984,"Litter moisture content as a determinant of litter arthropod distribution and abundance during the dry season on Barro Colorado Island, Panama",Biotropica,16,2,125-131,https://doi.org/10.2307/2387844,https://sysrev.com/p/125265/article/95521297,Yes
Lindberg_2002,"Lindberg, N.; Engtsson, J.B.; Persson, T.",2002,Effects of experimental irrigation and drought on the composition and diversity of soil fauna in a coniferous stand,Journal of Applied Ecology,39,,924-936,https://doi.org/10.1046/j.1365-2664.2002.00769.x,https://sysrev.com/p/125265/article/95521507,Yes
Lindberg_2004,"Lindberg, N.; Persson, T.",2004,Effects of long-term nutrient fertilisation and irrigation on the microarthropod community in a boreal Norway spruce stand,Forest Ecology and Management,188,1-3,125-135,https://doi.org/10.1016/j.foreco.2003.07.012,https://sysrev.com/p/125265/article/95521320,Yes
Lindberg_2006,"Lindberg, N.; Bengtsson, J.",2006,Recovery of forest soil fauna diversity and composition after repeated summer droughts,Oikos,114,,494-506,https://doi.org/10.1111/j.2006.0030-1299.14396.x,https://sysrev.com/p/125265/article/95521363,Yes
Liu_2020,"Liu, T.; Mao, P.; Shi, L.; Wang, Z.; Wang, X.; He, X.; Tao, L.; Liu, Z.; Zhou, L.; Shao, Y.; Fu, S.",2020,Contrasting effects of nitrogen deposition and increased precipitation on soil nematode communities in a temperate forest,Soil Biology and Biochemistry,148,,,https://doi.org/10.1016/j.soilbio.2020.107869,https://sysrev.com/p/125265/article/95521314,Yes
Peguero_2021,"Peguero, G.; Folch, E.; Liu, L.; Ogaya, R.; Peñuelas, J.",2021,Divergent effects of drought and nitrogen deposition on microbial and arthropod soil communities in a Mediterranean forest,European Journal of Soil Biology,103,,,https://doi.org/10.1016/j.ejsobi.2020.103275,https://sysrev.com/p/125265/article/95521517,Yes
Pflug_2001,"Pflug, A.; Wolters, V.",2001,Influence of drought and litter age on Collembola communities,European Journal of Soil Biology,37,4,305-308,https://doi.org/10.1016/S1164-5563(01)01101-3,https://sysrev.com/p/125265/article/95521499,Yes
Riutta_2012,"Riutta, T.; Slade, E.M.; Bebber, D.P.; Taylor, M.E.; Malhi, Y.; Riordan, P.; Macdonald, D.W.; Morecroft, M.D.",2012,"Experimental evidence for the interacting effects of forest edge, moisture and soil macrofauna on leaf litter decomposition",Soil Biology and Biochemistry,49,,124-131,https://doi.org/10.1016/j.soilbio.2012.02.028,https://sysrev.com/p/125265/article/95521202,Yes
